URI,skos:prefLabel,dct:description,dcdtr:meaning,dcdtr:logicType,dcdtr:expectedUse,dcdtr:metaAttribute,skos:historyNote
class/data-object/geothermal-power-plant-occurrence,Geothermal Power Plant Occurrence,Simple tabular description of  facility that generates electricity using geothermal energy.,def/object-class/geothermal-power-plant-facility,def/concept/table,information interchange using OGC Web feature service in the National Geothermal Data System,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/geothermal-reservoir,Geothermal Reservoir,,def/object-class/geologic-reservoir-feature,def/concept/table,representation of information about geothermal reserviors in the Gulf Coast area and for resevoir description in the context of the DOE Play Fairway Analysis projects,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/gravity-result,Gravity Result,,def/object-class/gravity-observation,def/concept/table,information interchange using OGC Web feature service in the National Geothermal Data System,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/heat-flow-result,Heat Flow Result,,def/object-class/heat-flow-observation,def/concept/table,information interchange using OGC Web feature service in the National Geothermal Data System,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/heat-pump-facility-occurrence,Heat Pump Facility Occurrence,,def/object-class/heat-pump-facility,def/concept/table,information interchange using OGC Web feature service in the National Geothermal Data System,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/history,History,,def/object-class/history,def/concept/table,A sequence of ordered events,,
class/data-object/hydraulic-properties-result,Hydraulic Properties Result,,def/object-class/hydraulic-properties-observation,def/concept/table,information interchange using OGC Web feature service in the National Geothermal Data System,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/measured-value,Measured Value,object representing a measurement result; may be expressed  single value; an aggregate (mean;median;mode) value with some associated statisitics; categorical; count; time; or a range on any one of these. ,def/object-class/quantity-with-units,def/concept/data-object,testing Digital crust Data integraton,,SMR Base on OGC SWE (Sensor web enablment) SWE common abstract data component.
class/data-object/metadata-instance,Metadata Instance,,def/object-class/resource-documentation,def/concept/table,information interchange using OGC Web feature service in the National Geothermal Data System,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/mineral-recovery-brines-experimental-data-instance,Mineral Recovery Brines Experimental Data Instance,,def/object-class/mineral-recovery-brine-experimental-data,def/concept/table,information interchange using OGC Web feature service in the National Geothermal Data System. capturing the variables to describe/evaluate REE removal and capturing the variables influencing removal and describing removal media;  Use to record observations of REE extraction processes and can be used to compare the efficacy of those processes.,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/mineral-recovery-brines-process-and-economics-instance,Mineral Recovery Brines Process and Economics Instance,,def/object-class/mineral-recovery-brine-process-and-economics,def/concept/table,information interchange using OGC Web feature service in the National Geothermal Data System. capturing the variables to describe/evaluate REE removal and capturing the variables influencing removal and describing removal media;  Use to record observations of REE extraction processes and can be used to compare the efficacy of those processes.,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/physical-sample-occurrence,Physical Sample Occurrence,,def/object-class/physical-sample,def/concept/table,information interchange using OGC Web feature service in the National Geothermal Data System,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/powell-and-cumming-geothermometry-result,Powell and Cumming Geothermometry Result,,def/object-class/powell-and-cumming-geothermometry-observation,def/concept/table,information interchange using OGC Web feature service in the National Geothermal Data System,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/power-plant-production-result,Power Plant Production Result,,def/object-class/power-plant-production-observation,def/concept/table,information interchange using OGC Web feature service in the National Geothermal Data System,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/quantity-with-units,Quantity with units,a simple representation of a measured value that includes a single representative value and the unit of measure as a tuple,def/object-class/quantity-with-units,def/concept/table,,,SMR to account for value and uom in separtate comlumns/fields. 
class/data-object/radiogenic-heat-production-result,Radiogenic Heat Production Result,,def/object-class/radiogenic-heat-production-observation,def/concept/table,information interchange using OGC Web feature service in the National Geothermal Data System,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/reference,reference,A link or foreign key to another data instance. The structure of the reference object SHALL be specified by the schemaURI value.,def/object-class/reference,def/concept/data-object,(required),,
class/data-object/rock-chemistry-result,Rock Chemistry Result,,def/object-class/rock-chemical-composition-observation,def/concept/table,information interchange using OGC Web feature service in the National Geothermal Data System,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/seismic-event-hypocenter-result,Seismic Event Hypocenter Result,,def/object-class/seismic-event-hypocenter-observation,def/concept/table,information interchange using OGC Web feature service in the National Geothermal Data System,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/term,term,a concept from a controlled vocabulary,def/object-class/concept,def/concept/data-object,,,
class/data-object/thermal-conductivity-result,Thermal Conductivity Result,,def/object-class/thermal-conductivity-observation,def/concept/table,information interchange using OGC Web feature service in the National Geothermal Data System,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/thermal-spring-occurrence,Thermal Spring Occurrence,,def/object-class/thermal-spring,def/concept/table,information interchange using OGC Web feature service in the National Geothermal Data System,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/us-cadastral-location,US Cadastral Location,representation of a location specified using the Public Land Survey System in the United States,def/object-class/geospatial-position,def/concept/table,component data type for use in constructing more complex datatypes. Only useful in the context of a representation of a resource that has a geospatial location.,,
class/data-object/value-domain,Value Domain,data type registry data object for representing a value domain used to restrict the valid values for an Attribute,def/object-class/value-domain,def/concept/data-object,,,data object defined in data type registry model
class/data-object/volcanic-vent-occurrence,Volcanic Vent Occurrence,,def/object-class/volcanic-vent-feature,def/concept/table,information interchange using OGC Web feature service in the National Geothermal Data System,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/weigelobservation,WeigelObservation,compilation of data on hydraulic conductivity properties of mesozoic formations from USGS WRI 86-470 Weigel 1987,def/object-class/hydraulic-properties-observation,def/concept/table,testing Digital crust Data integraton,,
class/data-object/well-fluid-production-result,Well Fluid Production Result,,def/object-class/well-fluid-production-observation,def/concept/table,information interchange using OGC Web feature service in the National Geothermal Data System,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/well-header-occurrence,Well Header Occurrence,,def/object-class/well-header-feature,def/concept/table,information interchange using OGC Web feature service in the National Geothermal Data System,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/well-log-result,Well Log Result,,def/object-class/well-log-observation,def/concept/table,information interchange using OGC Web feature service in the National Geothermal Data System,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/well-test-result,Well Test Result,,def/object-class/well-test-observation,def/concept/table,information interchange using OGC Web feature service in the National Geothermal Data System. schema used for the interchange of well test observation results by the AASG geothermal data project for the National Geothermal Data System. The HeaderURI for a particular borehole (well for simple wells) is the cross-referencing link (foreign key) used to associate the header record; well logs; temperature measurements; and other information from a particular borehole.,"[{""SRS"":""EPSG:4326""}]",steps from revision history on about Tab
class/data-object/wsp2321data,WSP2321Data,A hydraulic properties table extracted from USGS Water Supply paper 2321,def/object-class/hydraulic-properties-observation,def/concept/table,testing Digital crust Data integraton,,SM Richard transcribed data from WSP2321 to an excel spreadsheet; the columns in that table are defined in this data type
